bus,periodo,demanda_mw
1,1,11.0
1,7,11.549999999999999
1,13,16.5
1,19,15.95
2,1,0.6000000000000001
2,7,0.63
2,13,0.8999999999999999
2,19,0.8699999999999999
3,1,8.200000000000001
3,7,8.61
3,13,12.299999999999999
3,19,11.889999999999999
4,1,0.0
4,7,0.0
4,13,0.0
4,19,0.0
5,1,2.6
5,7,2.73
5,13,3.9
5,19,3.7699999999999996
6,1,15.0
6,7,15.75
6,13,22.5
6,19,21.75
7,1,0.0
7,7,0.0
7,13,0.0
7,19,0.0
8,1,30.0
8,7,31.5
8,13,45.0
8,19,43.5
9,1,24.200000000000003
9,7,25.41
9,13,36.3
9,19,35.089999999999996
10,1,1.0
10,7,1.05
10,13,1.5
10,19,1.45
11,1,0.0
11,7,0.0
11,13,0.0
11,19,0.0
12,1,75.4
12,7,79.17
12,13,113.1
12,19,109.33
13,1,3.6
13,7,3.78
13,13,5.3999999999999995
13,19,5.22
14,1,2.1
14,7,2.205
14,13,3.15
14,19,3.045
15,1,4.4
15,7,4.62
15,13,6.6
15,19,6.38
16,1,8.6
16,7,9.03
16,13,12.9
16,19,12.469999999999999
17,1,8.4
17,7,8.82
17,13,12.6
17,19,12.18
18,1,5.44
18,7,5.712
18,13,8.16
18,19,7.887999999999999
19,1,0.66
19,7,0.693
19,13,0.9899999999999999
19,19,0.9569999999999999
20,1,0.45999999999999996
20,7,0.48299999999999993
20,13,0.69
20,19,0.6669999999999999
21,1,0.0
21,7,0.0
21,13,0.0
21,19,0.0
22,1,0.0
22,7,0.0
22,13,0.0
22,19,0.0
23,1,1.26
23,7,1.323
23,13,1.89
23,19,1.8269999999999997
24,1,0.0
24,7,0.0
24,13,0.0
24,19,0.0
25,1,1.26
25,7,1.323
25,13,1.89
25,19,1.8269999999999997
26,1,0.0
26,7,0.0
26,13,0.0
26,19,0.0
27,1,1.8600000000000003
27,7,1.953
27,13,2.79
27,19,2.697
28,1,0.9199999999999999
28,7,0.9659999999999999
28,13,1.38
28,19,1.3339999999999999
29,1,3.4000000000000004
29,7,3.57
29,13,5.1
29,19,4.93
30,1,0.7200000000000001
30,7,0.756
30,13,1.08
30,19,1.044
31,1,1.16
31,7,1.218
31,13,1.74
31,19,1.682
32,1,0.32000000000000006
32,7,0.336
32,13,0.48
32,19,0.46399999999999997
33,1,0.76
33,7,0.7979999999999999
33,13,1.14
33,19,1.1019999999999999
34,1,0.0
34,7,0.0
34,13,0.0
34,19,0.0
35,1,1.2000000000000002
35,7,1.26
35,13,1.7999999999999998
35,19,1.7399999999999998
36,1,0.0
36,7,0.0
36,13,0.0
36,19,0.0
37,1,0.0
37,7,0.0
37,13,0.0
37,19,0.0
38,1,2.8000000000000003
38,7,2.94
38,13,4.2
38,19,4.06
39,1,0.0
39,7,0.0
39,13,0.0
39,19,0.0
40,1,0.0
40,7,0.0
40,13,0.0
40,19,0.0
41,1,1.26
41,7,1.323
41,13,1.89
41,19,1.8269999999999997
42,1,1.42
42,7,1.4909999999999999
42,13,2.13
42,19,2.0589999999999997
43,1,0.4
43,7,0.42
43,13,0.6
43,19,0.58
44,1,2.4000000000000004
44,7,2.52
44,13,3.5999999999999996
44,19,3.4799999999999995
45,1,0.0
45,7,0.0
45,13,0.0
45,19,0.0
46,1,0.0
46,7,0.0
46,13,0.0
46,19,0.0
47,1,5.94
47,7,6.236999999999999
47,13,8.91
47,19,8.613
48,1,0.0
48,7,0.0
48,13,0.0
48,19,0.0
49,1,3.6
49,7,3.78
49,13,5.3999999999999995
49,19,5.22
50,1,4.2
50,7,4.41
50,13,6.3
50,19,6.09
51,1,3.6
51,7,3.78
51,13,5.3999999999999995
51,19,5.22
52,1,0.9800000000000001
52,7,1.0290000000000001
52,13,1.47
52,19,1.421
53,1,4.0
53,7,4.2
53,13,6.0
53,19,5.8
54,1,0.82
54,7,0.8609999999999999
54,13,1.2299999999999998
54,19,1.1889999999999998
55,1,1.36
55,7,1.428
55,13,2.04
55,19,1.9719999999999998
56,1,1.52
56,7,1.5959999999999999
56,13,2.28
56,19,2.2039999999999997
57,1,1.34
57,7,1.407
57,13,2.01
57,19,1.9429999999999998
