Gen_ID,Period,P_Available_MW
313_PV_1,1,0.0
313_PV_1,7,21.41448087431694
313_PV_1,13,66.95901639344262
313_PV_1,19,0.0
313_PV_2,1,0.0
313_PV_2,7,21.009159469755737
313_PV_2,13,65.6916533071314
313_PV_2,19,0.0
313_RTPV_1,1,0.0
313_RTPV_1,7,22.775895950767964
313_RTPV_1,13,73.53853234731343
313_RTPV_1,19,0.0
313_RTPV_2,1,0.0
313_RTPV_2,7,11.70011118580959
313_RTPV_2,13,22.947728879005712
313_RTPV_2,19,0.0
314_PV_1,1,0.0
314_PV_1,7,11.555911809829176
314_PV_1,13,37.31158573374016
314_PV_1,19,0.0
314_PV_2,1,0.0
314_PV_2,7,9.567761286652534
314_PV_2,13,18.765496198996747
314_PV_2,19,0.0
314_PV_3,1,0.0
314_PV_3,7,20.760329937425666
314_PV_3,13,67.03069762631225
314_PV_3,19,0.0
314_PV_4,1,0.0
314_PV_4,7,9.567761286652534
314_PV_4,13,18.765496198996747
314_PV_4,19,0.0
