Gen_ID,Period,P_Available_MW
212_CSP_1,1,0.0
212_CSP_1,4,0.0
212_CSP_1,7,46.20168473423288
212_CSP_1,10,139.46156884243786
212_CSP_1,13,144.46389728898086
212_CSP_1,16,94.42057049887704
212_CSP_1,19,0.0
212_CSP_1,22,0.0
313_PV_1,1,0.0
313_PV_1,4,0.0
313_PV_1,7,21.29781420765028
313_PV_1,10,65.93469945355191
313_PV_1,13,68.76612021857923
313_PV_1,16,45.304098360655736
313_PV_1,19,0.0
313_PV_1,22,0.0
313_PV_2,1,0.0
313_PV_2,4,0.0
313_PV_2,7,21.18114754098361
313_PV_2,10,65.89781420765027
313_PV_2,13,68.40819672131148
313_PV_2,16,46.39508196721311
313_PV_2,19,0.0
313_PV_2,22,0.0
313_RTPV_1,1,0.0
313_RTPV_1,4,0.0
313_RTPV_1,7,22.775895950767964
313_RTPV_1,10,70.51060919480788
313_RTPV_1,13,73.53853234731343
313_RTPV_1,16,48.4482313699126
313_RTPV_1,19,0.0
313_RTPV_1,22,0.0
313_RTPV_2,1,0.0
313_RTPV_2,4,0.0
313_RTPV_2,7,14.325084778521607
313_RTPV_2,10,44.567546371947834
313_RTPV_2,13,46.26535062288055
313_RTPV_2,16,31.3775956284153
313_RTPV_2,19,0.0
313_RTPV_2,22,0.0
314_PV_1,1,0.0
314_PV_1,4,0.0
314_PV_1,7,17.63360655737705
314_PV_1,10,35.57704918032787
314_PV_1,13,34.58524590163935
314_PV_1,16,27.61939890710383
314_PV_1,19,0.0
314_PV_1,22,0.0
314_PV_2,1,0.0
314_PV_2,4,0.0
314_PV_2,7,17.740983606557375
314_PV_2,10,36.58579234972677
314_PV_2,13,35.97950819672131
314_PV_2,16,28.237704918032787
314_PV_2,19,0.0
314_PV_2,22,0.0
314_PV_3,1,0.0
314_PV_3,4,0.0
314_PV_3,7,21.41448087431694
314_PV_3,10,64.64043715846995
314_PV_3,13,66.95901639344262
314_PV_3,16,43.76393442622951
314_PV_3,19,0.0
314_PV_3,22,0.0
314_PV_4,1,0.0
314_PV_4,4,0.0
314_PV_4,7,17.719945355191257
314_PV_4,10,36.59071038251366
314_PV_4,13,35.9775956284153
314_PV_4,16,28.240163934426228
314_PV_4,19,0.0
314_PV_4,22,0.0
