bus,periodo,demanda_mw
1,1,0.0
1,7,0.0
1,13,0.0
1,19,0.0
2,1,0.0
2,7,0.0
2,13,0.0
2,19,0.0
3,1,64.4
3,7,67.62
3,13,96.6
3,19,93.38
4,1,100.0
4,7,105.0
4,13,150.0
4,19,145.0
5,1,0.0
5,7,0.0
5,13,0.0
5,19,0.0
6,1,0.0
6,7,0.0
6,13,0.0
6,19,0.0
7,1,46.760000000000005
7,7,49.098
7,13,70.14
7,19,67.80199999999999
8,1,104.4
8,7,109.61999999999999
8,13,156.6
8,19,151.38
9,1,0.0
9,7,0.0
9,13,0.0
9,19,0.0
10,1,0.0
10,7,0.0
10,13,0.0
10,19,0.0
11,1,0.0
11,7,0.0
11,13,0.0
11,19,0.0
12,1,1.5
12,7,1.575
12,13,2.25
12,19,2.175
13,1,0.0
13,7,0.0
13,13,0.0
13,19,0.0
14,1,0.0
14,7,0.0
14,13,0.0
14,19,0.0
15,1,64.0
15,7,67.2
15,13,96.0
15,19,92.8
16,1,65.88
16,7,69.17399999999999
16,13,98.82
16,19,95.52599999999998
17,1,0.0
17,7,0.0
17,13,0.0
17,19,0.0
18,1,31.6
18,7,33.18
18,13,47.4
18,19,45.82
19,1,0.0
19,7,0.0
19,13,0.0
19,19,0.0
20,1,136.0
20,7,142.79999999999998
20,13,204.0
20,19,197.2
21,1,54.800000000000004
21,7,57.54
21,13,82.2
21,19,79.46
22,1,0.0
22,7,0.0
22,13,0.0
22,19,0.0
23,1,49.5
23,7,51.975
23,13,74.25
23,19,71.77499999999999
24,1,61.720000000000006
24,7,64.806
24,13,92.58
24,19,89.494
25,1,44.800000000000004
25,7,47.04
25,13,67.2
25,19,64.96
26,1,27.8
26,7,29.189999999999998
26,13,41.699999999999996
26,19,40.309999999999995
27,1,56.2
27,7,59.01
27,13,84.3
27,19,81.49
28,1,41.2
28,7,43.26
28,13,61.8
28,19,59.739999999999995
29,1,56.7
29,7,59.535
29,13,85.05
29,19,82.21499999999999
31,1,1.8399999999999999
31,7,1.9319999999999997
31,13,2.76
31,19,2.6679999999999997
39,1,220.8
39,7,231.84
39,13,331.2
39,19,320.15999999999997
